Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,min_salary,max_salary,avg_salary,company_name,state,hq_same_loc,age,python,spark,aws,excel,tableau,sql,title_simple,seniority,desc_len,num_comp
Senior Data Scientist,$86K-$137K (Glassdoor est.),"GEICO’s Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.

As a Senior Data Scientist, you will serve as a technical and thought leader on this diverse and highly skilled team. You will design and develop inventive solutions to drive innovation and delivery of organizational value. You’ll synthesize large datasets and solve complex problems through the use of advanced machine learning and statistical modeling. You’ll work in a highly collaborative, team environment, guiding and mentoring junior data scientists and collaborating with multiple stakeholders. You will assist management in the communication of insights and the implementation of impactful data science solutions across the organization.

Expected Qualifications:

Advanced degree in a quantitative discipline, such as statistics, data science, computer science, mathematics, engineering, physics, etc.
4 years of experience in designing, developing, evaluating, and deploying predictive modeling, machine learning, advanced analytics
Deep understanding and experience with advanced statistics and modern machine learning predictive techniques, including GLMs, decision trees, forests, boosted ensembles, neural networks, deep learning, and graph analytics.
Superior coding skills using common data science tools, including Python (strongly preferred), R, Linux/Unix command line and shell scripting.
Excellent skill and significant experience in data processing using SQL, Hive, Impala, Spark, or equivalent querying language
Strong experience with distributed storage and big data computing technology, such as AWS, Hadoop, or Spark
Excellent communication skills and experience in working with stakeholders
Passion for extracting hidden insights and building machine learning systems that enhance business outcomes
Note: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Chevy Chase, MD office.

About GEICO
For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:

401(k) and profit-sharing plans
Medical, dental, vision and life insurance
Paid vacation, holidays and leave programs
Tuition reimbursement
Associate assistance program
Flexible spending accounts
Business casual dress
Fitness and dining facilities (at most locations)
Associate clubs and sports teams
Volunteer opportunities
Benefit offerings for positions other than full-time may vary.
GEICO is an equal opportunity employer. GEICO conducts drug screens and background checks on applicants who accept employment offers.

How to Apply

Click ""Apply for Job"" to complete your application. You will need an active email address and phone number. Please upload your resume, preferably as Word .doc files or PDF. Once you begin your application you can save it and access it later. Your application should include any work and/or internship experience from at least the past five years.

#LI-JW1

#DI-JW",3,"GEICO
3.3","Chevy Chase, MD","Washington, DC",10000+ employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1,86,137,111.5,GEICO,MD,0,84,1,1,1,1,0,1,data scientist,1,4298,0
Senior Data Scientist,$86K-$137K (Glassdoor est.),"The $21B Powersports market (motorcycles, ATVs, UTVs, PWCs, snowmobiles) is all about fast and fun, but the purchasing process is slow and frustrating. Octane enables consumers to live their passion by making powersports purchases instant, seamless, and widely available. Octane launched a credit product, branded as Roadrunner Financial, in 2016 to provide financing to prime and near-prime consumers who have historically been underserved by incumbent banks, expanding coverage to 50% of responsible consumers. Together with our automated underwriting and digital buying experience, Octane and RoadRunner cut the time to close a transaction from hours to minutes.

We are both the platform and the lender, which means we have both high growth and positive unit economicsrare for a fintech. Octane has raised >$100M in equity from IA Ventures, Valar Ventures, Contour Venture Partners, Citi Ventures, and other leading investors.

We are seeking a talented data scientist to lead projects related to credit risk analytics and model development. You will be working with a versatile team of data scientists and financial professionals to design and implement models underlying the core functions of Octane's lending business and loan portfolios.

Responsibilities:
Lead and manage the development of machine learning powered predictive models for Octane's real-time credit and technology systems
Continuously drive improvements in Octane's modeling approach and architecture
Design and implement customer-facing experiments that improve our user experience and grow loan originations
Manage and mine large data sets of proprietary and third-party data to draw insights and recommendations for policy and strategy decisions
Implement statistical methods to solve specific business problems utilizing code (Python)
Champion data analytics and help advance our culture of data-driven decision-making
Requirements:
Knowledge of various data science disciplines including descriptive analytics, optimization, probability, hypothesis testing, regression, forecasting and machine learning
Understanding of end-to-end development of machine learning systems, especially feature engineering and feature selection
Experience with both model development and systems integration
Excellent Python and SQL skills and familiarity with AWS
A track record of taking initiative and driving results, and a passion to build, design and transform a young organization
Strong communication skills and experience working across teams
MS in a quantitative field, followed by 3+ years experience or BS in a quantitative field, followed by 5+ years experience
Industry experience within Consumer Credit, FinTech, Financial Services, or similar preferred
Benefits
Robust Health Care Plans (Medical, Dental & Vision)
Generous Parental Leave
Up to 5 weeks PTO (self-managed)
Retirement Plan (401k) with Company contribution
Educational Assistance/Tuition Reimbursement up to $3K/year
Life Insurance (Basic, Voluntary & AD&D)
Short Term / Long Term Disability & Life insurance
Pre-Tax Commuter Benefits
Office snacks, full fridge, and drinks
Weekly catered Lunches
Monthly team outings
Fun company outings like bowling, yoga, cycling, mixology, cooking classes, & more!
Octane Lending is an equal opportunity employer committed to providing equal employment opportunity without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or any other protected status with respect to recruitment, hiring, promotion and other terms and conditions of employment.",4,"Octane
4.1","New York, NY","New York, NY",51 to 200 employees,2014,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1,86,137,111.5,Octane,NY,1,6,1,0,1,1,0,1,data scientist,1,3579,0
Associate Scientist,$86K-$137K (Glassdoor est.),"Associate Scientist, Assay Development

Position Summary

Adverum is looking for an Associate Scientist with knowledge of chromatography to join our team in our Redwood City office. This position reports to an Associate Director. This person will be working with Assay Development, QC, and Process Development. This role is responsible for developing, qualifying, transferring, and troubleshooting chromatography-based assays in support of product characterization/release and bioanalysis.

What You’ll Do
Design, develop, qualify, troubleshoot, and transfer chromatography-based assays to internal and external scientists.
Apply separation sciences to the characterization of vector particles in support of empty/full and aggregation determinations.
Participate in decisions on experimental approaches and interpretation of data.
Work collaboratively with different research and development departments to evaluate and implement new assay formats and/or technologies.
Perform internal sample analysis as needed in support of product characterization and preclinical studies.
Transfer assays to and oversee work at Contract Research Organizations and in the QC group.
Maintain current knowledge of regulatory requirements for bioanalytical and product characterization assays
Write test procedures, documented standard test methods, SOPs, protocols, and technical reports.
Present project status updates in internal and external forums.
Maintain excellent documentation of laboratory activities.
May supervise junior lab personnel.
Other responsibilities may be assigned as needed
About You
Minimum of a biological science or similar Bachelor’s degree with 15 years’ experience in a biotech company, or a Master’s degree with 10 years’ experience, or an equivalent combination of education and experience
Experience in assay development is required
Ability to read and extract information from published literature and internal reports is required.
Expertise is required in HPLC and CE methods such as reversed-phased HPLC, size-exclusion HPLC, ion-exchange HPLC, affinity HPLC, CE-SDS, FFF-MALS, UPLC, and cIEF).
Knowledge of LCMS is strongly desired
Knowledge of analytical ultracentrifugation is strongly desired.
Experience in the qualification/validation of quantitative assays and knowledge of FDA requirements is strongly desired.
Broad knowledge of protein, cell, or nucleic acid assay methods and biochemistry with application to gene therapy is strongly desired.
Background in the area of retinal or genetic diseases is desired, with an understanding of AAV biology a plus.
Must be a self-starter, proactive, co-operative, and proficient at working both independently and in a small team environment.
Proven initiative and demonstrated accountability in a fast-paced environment with high degree of flexibility.
Detail oriented and with time management skills
Excellent verbal and written communication skills.
Experience in presenting data through written reports and oral presentation; publication in a peer-reviewed journal or presentation at a conference is desired.
Proficiency with SoftMaxPro, GraphPad Prism, JMP and other common analytical software desired.
Proficient with MS Office and other common office software.
About Us

Adverum is a clinical-stage gene therapy company targeting unmet medical needs in ophthalmology and rare diseases. Adverum develops gene therapy product candidates designed to provide durable efficacy by inducing sustained expression of a therapeutic protein. Adverum’s core capabilities include clinical development, novel vector discovery and in-house manufacturing expertise, specifically in scalable process development, assay development, and current Good Manufacturing Practices quality control.",3,"Adverum
3.2","Redwood City, CA","Redwood City, CA",51 to 200 employees,2016,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Less than $1 million (USD),-1,86,137,111.5,Adverum,CA,1,4,0,0,0,1,0,0,data scientist,0,3747,0
R&D Scientist,$86K-$137K (Glassdoor est.),"Since 2001, Hygiena has been on a mission to be the global leader in rapid industrial diagnostic testing. Our world-class team of innovators, leaders, creators and problems solvers has helped Hygiena become the breakaway leader in the markets we serve. In our growing global business, there is always opportunity for talented and passionate individuals to grow with Hygiena.

We are currently recruiting for an R&D Scientist to join our Qualicon Diagnostics team located in Delaware!

In this role the R&D Scientist will be responsible for the development and improvement of rapid methods for microbial detection. Design, develop and help with commercialization of new molecular diagnostic products and implementing new technologies that are essential for Hygiena’s product base.

Responsibilities:
•Design and perform studies and experiments needed to improve current methods, assess and develop alternative methods, assays and technology
•Write protocols, analyze and interpret results
•Communicate results at team meetings

Qualifications:
•Ph.D. in Molecular Biology or a related field
oMinimum of 2 years of lab experience
OR
•Master’s Degree in Molecular Biology or a related field required.
oMinimum of 5 years of lab experience
•Hands-on experience in designing studies and experiments and analysis of failure modes with some supervision
•Knowledge of traditional and rapid microbiological techniques is required
•Experience in molecular biological techniques, including DNA/RNA techniques and PCR, qPCR/real time PCR is required
•Experience in Bioinformatics (Primer/Probe Design, multiple sequence alignments, Design of TaqMan and Scorpion probes) is desirable
•Experience in food microbiology, food safety a plus
•Experience in data analysis, interpretation and presentation of results
•Experience in Microsoft Office (Outlook, Word, Excel, PowerPoint) and Adobe Acrobat required.

Supervisory Responsibilities:
•Train and supervise junior level scientist and new employees as needed

Skills/Abilities:
•Assay Development
•Data analysis and interpretation
•Excellent verbal and written communication,
•Must be able to use discretion and independent judgement.
•Self-disciplined and organized
•Ability to multi-task and handle multiple projects
•Must be able to work in a team environment.
•Must be able to pay close attention to details.
•Must be able to adapt and flex to a changing environment.
•Must be able to lift/carry 20 pounds.

Working Conditions:
•May require occasional travel
•May occasionally work evenings and/or weekends.

Physical Demands:
•This position is considered light work - exerting up to 20 pounds of force occasionally, and/or up to 10 pounds of force frequently, and/or a negligible amount of force constantly to move objects. If the use of arm and/or leg controls requires exertion of forces greater than that for sedentary work and the employee sits most of the time, the job is rated for light work.
•Required to have close visual acuity to perform an activity such as: viewing a computer screen
•Frequently required to maintaining a static position, talking, hearing, seeing and repetitive motions.

Work Environment:
•The work environment includes both a typical office environment and a laboratory environment, including exposure to Biosafety Level 2 pathogens

Why you’ll want to join our team.
Teamwork as a core value.
At Hygiena, our emphasis on teamwork and cross-functional communication enables us to build stronger bonds within our business.

Be a part of something big.
Hygiena plays a critical role in helping to prevent global health crisis such as foodborne illness, healthcare-associated infections, and other outbreaks.

Giving back to our communities.
Hygiena believes in giving back by supporting local organizations committed to improving the lives of children and youth in our communities.

Apply Now",3,"Hygiena
3.9","New Castle, DE","Camarillo, CA",201 to 500 employees,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Ecolab, Eurofin Private Investment Office",86,137,111.5,Hygiena,DE,0,-1,0,0,0,1,0,0,data scientist,0,3862,2
Scientist: Mammalian Cell Line Development- 3+ years required,$86K-$137K (Glassdoor est.),"ABOUT CELLTHEON:

Located in the SF Bay Area, Celltheon Corporation has developed novel mammalian expression technologies to enhance recombinant protein production. In addition, we are dedicated to offering our clients a diverse range of technical expertise from molecular biology, cell culture, purification process development and generation of early stage pre-clinical material. Celltheon employees enjoy the benefit of having the opportunity to work in a diverse challenging and technical environment with a chance to learn and contribute in multiple areas, offering both personal and professional growth in a short time frame. Celltheon seeks talented, dedicated individuals to join its growing team. Celltheon offers a competitive salary and benefits program. If you desire a position in an active, collaborative scientific environment with the opportunity for professional growth and contribution, please apply on indeed.

Our website: http://www.celltheon.com

Scientist Job Description

Celltheon is seeking an innovative, independent and motivated professional with 3+ years of experience and expertise in mammalian expression technologies including cell line development of monoclonal antibodies and other recombinant proteins. The successful candidate will lead a team of Associate Scientists focused on cell line development of recombinant proteins including stable transfection optimization, single cell subcloning, cell banking, and process optimization. The candidate will be expected to learn and improve on existing cell line development workflows established by the company.

Requirements include:

· Cell Line Development: 3+ years of hands on industry experience with CHO cell line development. An ideal candidate understands cell line development procedures and technologies for transfection, resistance selection, cell counting, clonality documentation, cell passaging, clone selection, clone stability assessment, media adaptation, media and feed preparation, cryopreservation, and process development to improve protein expression.
Process Development Experience: An ideal candidate has bioreactor operation experience (stir-tank and WAVE bioreactors), developing scalable processes for manufacturing.
· Technical expertise: Scientific understanding of the biopharma industry and a general knowledge of the products and technologies needed for clone screening workflows and processes. Has developed and troubleshooted cell line development workflows in the past.

· Communication: Regularly provides written updates on projects. Interprets and effectively communicates scientific findings / results in one-on-one and/or group discussions and summarizes results in presentation format.

· Data maintenance and interpretation: Collects and compiles data and records in laboratory notebooks and batch records, ensuring they are consistently updated, audited, and well maintained. In addition, the candidate must be able to create and revise existing SOPs, as methods are developed and modified.

· Performance and Management: Ability to follow written and verbal instructions in the performance of experiments and method development. Ability to train, manage and delegate tasks to direct reports.

MINIMUM REQUIREMENTS:

· Masters Degree in Biotechnology, Bioprocessing, Bioscience or a related subject

· 3+ years of relevant industry experience in CHO Cell Line Development

· Understanding of GxP compliance is preferred.

· Strong working knowledge of Microsoft suite of software (Word, Excel, PowerPoint)

· Good verbal and written communication skills including report writing.

· Ability to lift/ carry ~50 pounds and work in a biosafety cabinet.

· Ability to lead and manage a team of 4-5 people, and interact with other department leads.

Job Type: Full-time

Experience:
Mammalian Cell Line Development: 5 years (Required)
Education:
Master's (Required)
Work authorization:
United States (Required)
Company's website:
www.celltheon.com
Work Remotely:
No",4,"Celltheon
4.0","Tracy, CA","Union City, CA",1 to 50 employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,86,137,111.5,Celltheon,CA,0,-1,0,0,0,1,0,0,data scientist,0,3986,0
Scientist,$86K-$137K (Glassdoor est.),"Join us as we Rise to the Challenge
At KCI, we’re building an enduring company that provides unparalleled value to our employee-owners. We make our mark designing and delivering our world-class solutions, so we invest deeply in developing our team. We reward integrity and commitment, and when we do well, you do well. Our people have freedom to innovate, unlimited growth, a voice that matters, a lifestyle that works, and skin in the game. Because life’s more fun when you own it.
THE COMPANY
KCI Technologies, Inc. is a 100% employee-owned engineering, consulting and construction firm serving clients throughout the United States. KCI is recognized as an industry leader, employing cutting-edge technologies, management practices and strategic growth initiatives. Employee ownership fosters an entrepreneurial spirit, encourages technical expertise, and shapes strategic planning.

Selected candidate will provide environmental regulatory compliance consulting support under a contract with a major regional transit client. In particular, selected candidate will provide technical support to ensure compliance with federal, state and local air quality regulations. Specific air quality compliance consulting duties may include:
Review and evaluate chemical product SDS sheets and information to determine VOC compliance
Assist with air emissions inventories and compliance reporting
Prepare semi-annual reports and annual certification for Title V air permit
Evaluate new facilities or renovated facilities for permit applicability

Bachelor of Science or Master of Science in Natural or Environmental or related field.
Minimum of 2 - 4 years of professional experience.
Pre-employment drug screening is a condition of employment. Background and motor vehicle checks may be required based upon position.

Complete Annual Individual Training Program
Train adequate backup personnel to support your role in your absence
Attend meetings with clients as required
Comply with all KCI policies and procedures
Ensure projects fulfill ISO compliance requirements
Complete other duties as required/assigned
Assist with preparation of proposals and qualifications in repsonse to RFPs and RFQs
Achieve or exceed budgeted individual utilization target(85% typical)
Attend bi-weekly(or more frequently as necessary) meetings with project team on all projects/tasks
Complete all tasks on time and within budget while fully meeting the scope
Operate within specified (corporate or project) budget parameters
Assess and document potential project impacts
Collect required field data using proper protocols and techniques
Lead field surveys
Lead the development of and assemble organized, clear, and cohesive technical reports
Prepare avoidance or minimization recommendations
Prepare mitigation strategy and plan as required
Process field data for inclusion in reports and deliverables
Review and interpret lab results
KCI Technologies, Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.",3,"KCI Technologies
3.6","Sparks, MD","Glencoe, MD",1001 to 5000 employees,1988,Company - Private,Architectural & Engineering Services,Business Services,$100 to $500 million (USD),-1,86,137,111.5,KCI Technologies,MD,0,32,0,0,0,0,0,0,data scientist,0,3160,0
Sr Data Scientist,$86K-$137K (Glassdoor est.),"JOB DUTIES:Senior Data Scientist for Ecolab, Inc. at its facility in Naperville, IL. Actively engage with internal business stakeholders to understand business challenges and deliver robust, data driven solutions. Integrate inputs from subject matter experts with statistical, mathematical, predictive modeling and business analysis skills to manage and manipulate complex high-volume data from a variety of sources. Validate proof of concept (POCs) by analyzing organizational data and present insights to determine the potential to be taken up as a full-scale funded analytics project. Collaborate closely with Business Partners/Analysts, Data Engineers, System Administrators and other Data Scientists to develop and integrate innovative AI/ML models into useable data products and services. Leverage open source tools like Python along with Microsoft Azure cloud based big data/AI environments to implement scalable predictive/prescriptive models. Present the results of your work to all levels within the organization, offering actionable real-time insights that have a measurable and ongoing impact on business. Partner with customers and leading digital companies to leverage cutting edge technology (machine learning, streaming analytics and real big data) to creatively solve problems and disrupt existing business models.

REQUIREMENTS: Masters degree in Data Science, Business Analytics, Math, Statistics or related field with an emphasis on analytics and four (4) years of experience working and participating on a cross functional project team, from inception to delivery. Experience must also include two (2) years of post-bachelors progressive experience in all of the following: Deliver data-driven solutions by applying problem-solving and analytics to business challenges; Articulate & present complex mathematical solutions in a simple manner that most will understand; Use statistics/analytics/visualization tools, including Microsoft Azure Suite, Azure ML, PowerBI, Python and SQL; Manipulate complex high-volume data from a variety of sources using statistical, mathematical, predictive modeling and business analysis.

EX: OUT

Our Commitment to Diversity and Inclusion

At Ecolab, we believe the best teams are diverse and inclusive, and we are on a journey to create a workplace where every associate can grow and achieve their best. We are committed to fair and equal treatment of associates and applicants. We recruit, hire, promote, transfer and provide opportunities for advancement on the basis of individual qualifications and job performance. In all matters affecting employment, compensation, benefits, working conditions, and opportunities for advancement, we will not discriminate against any associate or applicant for employment because of race, religion, color, creed, national origin, citizenship status, sex, sexual orientation, gender identity and expressions, genetic information, marital status, age, disability, or status as a covered veteran.

In addition, we are committed to furthering the principles of Equal Employment Opportunity (EEO) through Affirmative Action (AA). Our goal is to fully utilize minority, female, disabled and covered veteran individuals at all levels of the workforce. Ecolab is a place where you can grow your career, own your future and impact what matters.

We will consider for employment all qualified applicants, including those with criminal histories, in a manner consistent with the requirements of applicable state and local laws, including the City of Los Angeles Fair Chance Initiative for Hiring Ordinance and the San Francisco Fair Chance Ordinance.",3,"Ecolab
3.6","Naperville, IL","Saint Paul, MN",10000+ employees,1923,Company - Public,Chemical Manufacturing,Manufacturing,$10+ billion (USD),-1,86,137,111.5,Ecolab,IL,0,97,1,0,1,0,0,1,data scientist,1,3633,0
Business Analytics Manager,$86K-$137K (Glassdoor est.),"Business Analytics Manager
Milwaukee Branch
12355 Uline Way, Kenosha, WI 53144

Customer Service is the heartbeat of our company. We depend on our Call Center employees to serve our customers and fulfill our promise of reliability.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.

Position Responsibilities
Manage the Customer Service analytics team, listening to recommendations and taking measures to maximize team effectiveness.
Provide leadership, training and coaching.
Evaluate business processes, developing and implementing solutions for improvements.
Create performance and success reports.
Build and maintain relationships with branch leadership to drive performance.
Act as a liaison between business and IT groups.
Minimum Requirements
Bachelor’s degree.
5+ years experience in business analysis.
Experience leading and developing top-performing teams.
Experience in call center, warehouse, or supply chain environment.
Knowledge of data design, ETL process, data warehousing and SQL.
Benefits
Complete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.
401(k) with 5% employer match.
Paid holidays and generous paid time off.
Bonus programs that include annual performance, sales goals and profit sharing.
Scholarship program for children of employees.
Employee Perks
On-site café and outdoor patio.
First-class fitness center.
Beautifully maintained walking trails.
Free chair massages.
Numerous employee appreciation events throughout the year.
Opportunities for community involvement.
About Uline

Uline is the leading distributor of shipping, industrial and packaging materials to businesses throughout North America. We're a family-owned company whose incredible service, huge inventory and quality products fuel our ongoing expansion and growth. We offer same-day shipping on over 37,500 products in our 812-page catalog and on our state-of-the-art e-commerce website.

Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.

EEO/AA Employer/Vet/Disabled

#LI-JF1
#CORP",3,"Uline
3.2","Milwaukee, WI","Pleasant Prairie, WI",5001 to 10000 employees,1980,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,"The Home Depot, Foxconn, Amazon",86,137,111.5,Uline,WI,0,40,0,0,0,0,0,1,manager,1,2231,3
Data Scientist Architect,$86K-$137K (Glassdoor est.),"This career opportunity is in our Minneapolis office. This individual contributor position will be a member of a high-performing technology team that leads the firm in Business Intelligence and data services by providing architectural guidance, technological vision and solution development. Specifically, this position will be utilizing advanced analytics, data science and machine learning to give our business and our products a competitive advantage. It includes understanding and managing the data, how it interconnects and architecting data for self-serve BI and BA opportunities. This position is for a person that is both business savvy and an expert in data analytics/data science that enjoys framing a problem, shaping & creating solutions and helping to champion implementation.

PRIMARY DUTIES AND RESPONSIBILITIES
Identify and prioritize business use cases. Understand the business, strategy and work with business leaders to identify and prioritize problems that advanced analytics is suited to solve. Effectively communicate these ideas to senior management. In other words, translate business problems into advanced analytics/data science projects and lead in quantifying the various types of risk and rewards that allow these projects to be prioritized.
Stakeholder thought partner to stakeholders by understanding the business needs through a deep knowledge of business operations, the key strategic objectives of our stakeholders, and what stakeholders need to achieve those strategic objectives. Seen by the stakeholder as an extension of their team and brought in for strategic and operational conversations.
Operationalize data and analytic products while also making sure they continue to deliver value. Be able to tell the story of how data and analytics is positively impacting stakeholders. Work closely with the business to achieve real value through informed decisions and improved actions.
Give direction and insight on all data analytics large initiatives/epics/areas of focus.
Build end to end advanced analytics, DSML and AI solutions.
Collect and prepare data. You will help identify the business data needed to produce the most useful insights and future analytics. This would include business line and possible outside sources of data. Ensuring alignment on short-term delivery goals and long-term data and analytic roadmaps with clear articulation of expected value and how the work is to be prioritized.
Validate business implications. You will synthesize analytics-derived insights into easy-to-understand, actionable recommendations that business users can easily understand. Ensure that the insights generated through sophisticated analytics translate to help drive revenue and cost-effective scaling.
Stay abreast of the latest developments and advancements. And how they could impact SullivanCotter.
EDUCATION AND EXPERIENCE REQUIREMENTS
Bachelor’s degree in business, IT, mathematics, statistics or relevant degree program.
10+ years' experience in data analytics or a data scientist or data architect role.
Expertise solution design, problem framing, design thinking, analytics techniques and building solutions.
Skilled at communicating with a variety of methods to include written business cases, data visualizations and infographics.
Demonstrated technical excellence in BI, reporting and analytics tools, analytic solutions (e.g. Power BI, Tableau, R), data visualization, data analytics processing, Python, SQL, AI, and ML.
Experience with the techniques and technologies of data science, along with a comprehensive understanding of the challenges associated with each (e.g. overfitting, model refresh, challenge of acquiring training data, cost of compute, etc.).
Demonstrated communication and influencing skills with business and technical leaders. A talent for boiling complex ideas down to clear, practical choices. Track record of delivering multiple projects with tangible impact.
Extensive experience leading large complex projects, including strategic and tactical planning and implementation, analysis, design, technology selection and deployment.
Results driven–sets aggressive goals and is accountable for continuously driving improved outcomes, leads change, and ensures high standards.
Storytelling: ability to communicate complex ideas in a way that is digestible to broad audience and leads to decision and action.
Track record of developing and implementing innovative highly available, scalable and secure enterprise data and analytic deployments to meet current and future business needs.
BEHAVIORAL ATTRIBUTES
You are passionate about helping organizations drive their success utilizing data.
Skilled storyteller with a passion for data, you will analyze and evaluate data to create innovative advanced analytics to provide the business a competitive edge.
Inquisitive, desire to ask questions and get a deeper understanding of issues (business and data).
Innovative, ability to imagine new analytical solutions to any problem.
Confident, able to challenge perceptions and biases of individuals at every level of the organization in order to enact improvements.
Ability to communicate to both technical and non-technical people. Passion to give others an advantage of understanding by using accessible language.
Business oriented, solid understanding of business requirements and vernacular.
Highly detailed where and when you need to be, able to be less detailed when you need to be.
Curious, stays abreast of current and upcoming technologies and tools.
Applicants for employment must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States (i.e., H1-B visa, F-1 visa (OPT), TN visa or any other non-immigrant status).

Qualified applicants will be afforded equal employment opportunities without discrimination because of race, creed, color, national origin, sex, age, disability or marital status.

Apply Now",4,"SullivanCotter
4.2","Minneapolis, MN","Chicago, IL",201 to 500 employees,1992,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,"Mercer, Korn Ferry, Integrated Healthcare Strategies",86,137,111.5,SullivanCotter,MN,0,28,1,0,0,1,1,1,data scientist,0,5964,3
Customer Success Data Analyst,$86K-$137K (Glassdoor est.),"About Command Alkon

At Command Alkon, we turn passion into innovation. Our market-leading, next-generation solutions and services create incredible experiences for our customers, and our career opportunities and culture create amazing experiences for you.

As the Leading Supplier Collaboration Platform for Heavy Work, Command Alkon solutions deliver supply chain integration and frictionless digital collaboration across the heavy construction ecosystem. We are a community of creative thinkers and professionals who strive to make businesses more efficient and effective. This is just one of the reasons why we were named to Fast Company’s Annual Recognition of World’s Most Innovative Companies for 2020.
What You'll Do
Develop advanced user skills with the TrackIt SaaS telematics application
Build excel views of contract, invoice and usage data
Merge excel worksheets utilizing vlookup or xlookup
Input and manage opportunities in Microsoft D365.
Upsell add-on features such as engine data or payroll export
Assist in the development of a renewal schedule
Plan renewal strategies with customer success teammates and sales
Grow customer relationships to strengthen account retention
Who You Are
College degree in business or a related field
Proficient in MS Office with advanced skills in excel (vlookup etc).
Skilled communicator, both verbal and written
Good Organizational skills
Ability to work well with other departments
Why work for Command Alkon?

Command Alkon, voted one of Birmingham’s Best Places to Work for 3 years in a row, is headquartered in Birmingham, Alabama and has offices in locations around the globe. When you choose Command Alkon, you aren’t only making an impact on your career - you’re impacting the world in which we live. Command Alkon is leading a change in the industry with continuous growth and expansion into new markets; giving you the opportunity to make real contributions that will benefit billions of people, all around the world, every single day.
We take pride in a culture that promotes sustainability, creative problem-solving, and the well-being of our employees. We invest in developing your talents with training and mentorship, and we challenge you with engaging work that ensures you can make an impact and build your skills. To be a company of tomorrow, we must continuously move forward and be the stewards of change. Come be part of something much bigger than yourself!
Command Alkon strives to be an employer of choice, offering a comprehensive benefit package and perks that include:
- Paid Parental Leave
- Casual dress code
- Generous family medical, dental, and vision plans
- Company-paid life insurance, short term disability and long term disability insurance
- 401(k) Matching Program
- Tuition Reimbursement Program
- Free soft drinks and hot beverages
Find out more at http://www.commandalkon.com/careers/
Command Alkon is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status or any other characteristic protected by law.",3,"Command Alkon
3.1","Birmingham, AL","Birmingham, AL",501 to 1000 employees,1976,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"Jonel Engineering, SAP",86,137,111.5,Command Alkon,AL,1,44,0,0,0,1,0,0,data analyst,0,3143,2
